list,expression,order,item,firstDisplay,secondDisplay,English,Hindi,tense,half,cond,grammaticalRole,gender,target,location,competitor,target_hindi,target_translations,competitor_hindi,competitor_translations,CompID,expTrials,recordingName
1,pronoun,1,P1,p01.jpg,p01_m.jpg,the bag next to the suitcase is on number 1,अटैची के बगल वाला थैला नंबर 1 पर है ।,,1,,,,,,,,bag,,,,N,N_List1_Order1_Item_P1_Cond_Exp_pronoun_Tense_
2,pronoun,1,P1,p01.jpg,p01_m.jpg,the bag next to the suitcase is on number 1,अटैची के बगल वाला थैला नंबर 1 पर है ।,,1,,,,,,,,bag,,,,N,N_List2_Order1_Item_P1_Cond_Exp_pronoun_Tense_
3,noun,1,P1,p01.jpg,p01_m.jpg,the bag next to the suitcase is on number 1,अटैची के बगल वाला थैला नंबर 1 पर है ।,,1,,,,,,,,bag,,,,N,N_List3_Order1_Item_P1_Cond_Exp_noun_Tense_
4,noun,1,P1,p01.jpg,p01_m.jpg,the bag next to the suitcase is on number 1,अटैची के बगल वाला थैला नंबर 1 पर है ।,,1,,,,,,,,bag,,,,N,N_List4_Order1_Item_P1_Cond_Exp_noun_Tense_
5,pronoun,1,x48,x48.jpg,x48_m.jpg,the whistle is on number 5,सीटी नंबर 5 पर है ।,9,1,9,9,,,,,whistle,,,,,N,N_List5_Order1_Item_x48_Cond9_Exp_pronoun_Tense_9
6,pronoun,1,x48,x48.jpg,x48_m.jpg,the whistle is on number 5,सीटी नंबर 5 पर है ।,9,1,9,9,,,,,whistle,,,,,N,N_List6_Order1_Item_x48_Cond9_Exp_pronoun_Tense_9
7,noun,1,x48,x48.jpg,x48_m.jpg,the whistle is on number 5,सीटी नंबर 5 पर है ।,,1,9,9,9,5,,,,whistle,,,,N,N_List7_Order1_Item_x48_Cond9_Exp_noun_Tense_
8,noun,1,x48,x48.jpg,x48_m.jpg,the whistle is on number 5,सीटी नंबर 5 पर है ।,,1,9,9,9,5,,,,whistle,,,,N,N_List8_Order1_Item_x48_Cond9_Exp_noun_Tense_
1,pronoun,2,P2,p02.jpg,p02_m.jpg,the f-doctor is below the medicine,डॉक्टरनी दवाई के नीचे खड़ी है ।,forstanding,1,,,,,,,,f-doctor,,,,N,N_List1_Order2_Item_P2_Cond_Exp_pronoun_Tense_forstanding
2,pronoun,2,P2,p02.jpg,p02_m.jpg,the f-doctor is below the medicine,डॉक्टरनी दवाई के नीचे खड़ी है ।,forstanding,1,,,,,,,,f-doctor,,,,N,N_List2_Order2_Item_P2_Cond_Exp_pronoun_Tense_forstanding
3,noun,2,P2,p02.jpg,p02_m.jpg,the f-doctor is below the medicine,डॉक्टरनी दवाई के नीचे खड़ी है ।,forstanding,1,,,,,,,,f-doctor,,,,N,N_List3_Order2_Item_P2_Cond_Exp_noun_Tense_forstanding
4,noun,2,P2,p02.jpg,p02_m.jpg,the f-doctor is below the medicine,डॉक्टरनी दवाई के नीचे खड़ी है ।,forstanding,1,,,,,,,,f-doctor,,,,N,N_List4_Order2_Item_P2_Cond_Exp_noun_Tense_forstanding
5,pronoun,2,x49,x49.jpg,x49_m.jpg,"the m-cleaner is on number 1, in the same line which has the calculator in it","सफ़ाईवाला नंबर 1 पर है, उसी लाइन में जिसमें कैलकुलेटर भी है ।",9,1,9,9,,,3,,m-cleaner,,,,,N,N_List5_Order2_Item_x49_Cond9_Exp_pronoun_Tense_9
6,pronoun,2,x49,x49.jpg,x49_m.jpg,"the m-cleaner is on number 1, in the same line which has the calculator in it","सफ़ाईवाला नंबर 1 पर है, उसी लाइन में जिसमें कैलकुलेटर भी है ।",9,1,9,9,,,3,,m-cleaner,,,,,N,N_List6_Order2_Item_x49_Cond9_Exp_pronoun_Tense_9
7,noun,2,x49,x49.jpg,x49_m.jpg,"the m-cleaner is on number 1, in the same line which has the calculator in it","सफ़ाईवाला नंबर 1 पर है, उसी लाइन में जिसमें कैलकुलेटर भी है ।",,1,9,9,9,1,,3,,m-cleaner,,,,N,N_List7_Order2_Item_x49_Cond9_Exp_noun_Tense_
8,noun,2,x49,x49.jpg,x49_m.jpg,"the m-cleaner is on number 1, in the same line which has the calculator in it","सफ़ाईवाला नंबर 1 पर है, उसी लाइन में जिसमें कैलकुलेटर भी है ।",,1,9,9,9,1,,3,,m-cleaner,,,,N,N_List8_Order2_Item_x49_Cond9_Exp_noun_Tense_
1,pronoun,3,P3,p03.jpg,p03_m.jpg,"the monkey who is next to the grapes, it is on number 2",अंगूरों के बगल में जो बन्दर है वह नंबर 2 पर है ।,,1,,,,,,,,monkey,,,,N,N_List1_Order3_Item_P3_Cond_Exp_pronoun_Tense_
2,pronoun,3,P3,p03.jpg,p03_m.jpg,"the monkey who is next to the grapes, it is on number 2",अंगूरों के बगल में जो बन्दर है वह नंबर 2 पर है ।,,1,,,,,,,,monkey,,,,N,N_List2_Order3_Item_P3_Cond_Exp_pronoun_Tense_
3,noun,3,P3,p03.jpg,p03_m.jpg,"the monkey who is next to the grapes, it is on number 2",अंगूरों के बगल में जो बन्दर है वह नंबर 2 पर है ।,,1,,,,,,,,monkey,,,,N,N_List3_Order3_Item_P3_Cond_Exp_noun_Tense_
4,noun,3,P3,p03.jpg,p03_m.jpg,"the monkey who is next to the grapes, it is on number 2",अंगूरों के बगल में जो बन्दर है वह नंबर 2 पर है ।,,1,,,,,,,,monkey,,,,N,N_List4_Order3_Item_P3_Cond_Exp_noun_Tense_
5,pronoun,3,x42,x42.jpg,x42_m.jpg,"on number 5, there is a pencil",नंबर 5 पर एक पेंसिल पड़ी है ।,forstanding,1,9,9,,,,,pencil,,,,,N,N_List5_Order3_Item_x42_Cond9_Exp_pronoun_Tense_forstanding
6,pronoun,3,x42,x42.jpg,x42_m.jpg,"on number 5, there is a pencil",नंबर 5 पर एक पेंसिल पड़ी है ।,forstanding,1,9,9,,,,,pencil,,,,,N,N_List6_Order3_Item_x42_Cond9_Exp_pronoun_Tense_forstanding
7,noun,3,x42,x42.jpg,x42_m.jpg,"on number 5, there is a pencil",नंबर 5 पर एक पेंसिल पड़ी है ।,forstanding,1,9,9,9,5,,,,pencil,,,,N,N_List7_Order3_Item_x42_Cond9_Exp_noun_Tense_forstanding
8,noun,3,x42,x42.jpg,x42_m.jpg,"on number 5, there is a pencil",नंबर 5 पर एक पेंसिल पड़ी है ।,forstanding,1,9,9,9,5,,,,pencil,,,,N,N_List8_Order3_Item_x42_Cond9_Exp_noun_Tense_forstanding
1,pronoun,4,P4,p04.jpg,p04_m.jpg,the man is above the corn and it is also on number 3,आदमी भुट्टे के ऊपर है और साथ ही वह नंबर 3 पर भी खड़ा है ।,forstanding,1,,,,,,,,man,,,,N,N_List1_Order4_Item_P4_Cond_Exp_pronoun_Tense_forstanding
2,pronoun,4,P4,p04.jpg,p04_m.jpg,the man is above the corn and it is also on number 3,आदमी भुट्टे के ऊपर है और साथ ही वह नंबर 3 पर भी खड़ा है ।,forstanding,1,,,,,,,,man,,,,N,N_List2_Order4_Item_P4_Cond_Exp_pronoun_Tense_forstanding
3,noun,4,P4,p04.jpg,p04_m.jpg,the man is above the corn and it is also on number 3,आदमी भुट्टे के ऊपर है और साथ ही वह नंबर 3 पर भी खड़ा है ।,forstanding,1,,,,,,,,man,,,,N,N_List3_Order4_Item_P4_Cond_Exp_noun_Tense_forstanding
4,noun,4,P4,p04.jpg,p04_m.jpg,the man is above the corn and it is also on number 3,आदमी भुट्टे के ऊपर है और साथ ही वह नंबर 3 पर भी खड़ा है ।,forstanding,1,,,,,,,,man,,,,N,N_List4_Order4_Item_P4_Cond_Exp_noun_Tense_forstanding
5,pronoun,4,x66,x66.jpg,x66_m.jpg,the tennis player is standing on number 2,टेनिस खिलाड़ी नंबर 2 पर खड़ा है ।,forstanding,1,9,9,,,,,tennis player,,,,,N,N_List5_Order4_Item_x66_Cond9_Exp_pronoun_Tense_forstanding
6,pronoun,4,x66,x66.jpg,x66_m.jpg,the tennis player is standing on number 2,टेनिस खिलाड़ी नंबर 2 पर खड़ा है ।,forstanding,1,9,9,,,,,tennis player,,,,,N,N_List6_Order4_Item_x66_Cond9_Exp_pronoun_Tense_forstanding
7,noun,4,x66,x66.jpg,x66_m.jpg,the tennis player is standing on number 2,टेनिस खिलाड़ी नंबर 2 पर खड़ा है ।,forstanding,1,9,9,9,2,,,,tennis player,,,,N,N_List7_Order4_Item_x66_Cond9_Exp_noun_Tense_forstanding
8,noun,4,x66,x66.jpg,x66_m.jpg,the tennis player is standing on number 2,टेनिस खिलाड़ी नंबर 2 पर खड़ा है ।,forstanding,1,9,9,9,2,,,,tennis player,,,,N,N_List8_Order4_Item_x66_Cond9_Exp_noun_Tense_forstanding
1,pronoun,5,P5,p05.jpg,p05_m.jpg,the woman is above the coat and the harmonium,औरत कोट और हारमोनियम के ऊपर है ।,,1,,,,,,,,woman,,,,N,N_List1_Order5_Item_P5_Cond_Exp_pronoun_Tense_
2,pronoun,5,P5,p05.jpg,p05_m.jpg,the woman is above the coat and the harmonium,औरत कोट और हारमोनियम के ऊपर है ।,,1,,,,,,,,woman,,,,N,N_List2_Order5_Item_P5_Cond_Exp_pronoun_Tense_
3,noun,5,P5,p05.jpg,p05_m.jpg,the woman is above the coat and the harmonium,औरत कोट और हारमोनियम के ऊपर है ।,,1,,,,,,,,woman,,,,N,N_List3_Order5_Item_P5_Cond_Exp_noun_Tense_
4,noun,5,P5,p05.jpg,p05_m.jpg,the woman is above the coat and the harmonium,औरत कोट और हारमोनियम के ऊपर है ।,,1,,,,,,,,woman,,,,N,N_List4_Order5_Item_P5_Cond_Exp_noun_Tense_
5,pronoun,5,x71,x71.jpg,x71_m.jpg,"the fox is standing on number 4, below the pencil","लोमड़ी नंबर 4 पर खड़ी है, पेंसिल के नीचे ।",forstanding,1,9,9,,,1,,fox,,,,,N,N_List5_Order5_Item_x71_Cond9_Exp_pronoun_Tense_forstanding
6,pronoun,5,x71,x71.jpg,x71_m.jpg,"the fox is standing on number 4, below the pencil","लोमड़ी नंबर 4 पर खड़ी है, पेंसिल के नीचे ।",forstanding,1,9,9,,,1,,fox,,,,,N,N_List6_Order5_Item_x71_Cond9_Exp_pronoun_Tense_forstanding
7,noun,5,x71,x71.jpg,x71_m.jpg,"the fox is standing on number 4, below the pencil","लोमड़ी नंबर 4 पर खड़ी है, पेंसिल के नीचे ।",forstanding,1,9,9,9,4,,1,,fox,,,,N,N_List7_Order5_Item_x71_Cond9_Exp_noun_Tense_forstanding
8,noun,5,x71,x71.jpg,x71_m.jpg,"the fox is standing on number 4, below the pencil","लोमड़ी नंबर 4 पर खड़ी है, पेंसिल के नीचे ।",forstanding,1,9,9,9,4,,1,,fox,,,,N,N_List8_Order5_Item_x71_Cond9_Exp_noun_Tense_forstanding
1,pronoun,6,P6,p06.jpg,p06_m.jpg,"the tractor that is below the pushcart, it is on number 4",जो ट्रेक्टर ठेले के नीचे है वह नंबर 4 पर खड़ा है ।,forstanding,1,,,,,,,,tractor,,,,N,N_List1_Order6_Item_P6_Cond_Exp_pronoun_Tense_forstanding
2,pronoun,6,P6,p06.jpg,p06_m.jpg,"the tractor that is below the pushcart, it is on number 4",जो ट्रेक्टर ठेले के नीचे है वह नंबर 4 पर खड़ा है ।,forstanding,1,,,,,,,,tractor,,,,N,N_List2_Order6_Item_P6_Cond_Exp_pronoun_Tense_forstanding
3,noun,6,P6,p06.jpg,p06_m.jpg,"the tractor that is below the pushcart, it is on number 4",जो ट्रेक्टर ठेले के नीचे है वह नंबर 4 पर खड़ा है ।,forstanding,1,,,,,,,,tractor,,,,N,N_List3_Order6_Item_P6_Cond_Exp_noun_Tense_forstanding
4,noun,6,P6,p06.jpg,p06_m.jpg,"the tractor that is below the pushcart, it is on number 4",जो ट्रेक्टर ठेले के नीचे है वह नंबर 4 पर खड़ा है ।,forstanding,1,,,,,,,,tractor,,,,N,N_List4_Order6_Item_P6_Cond_Exp_noun_Tense_forstanding
5,pronoun,6,x62,x62.jpg,x62_m.jpg,the f-doctor is on number 2,डॉक्टरनी नंबर 2 पर है ।,9,1,9,9,,,,,f-doctor,,,,,N,N_List5_Order6_Item_x62_Cond9_Exp_pronoun_Tense_9
6,pronoun,6,x62,x62.jpg,x62_m.jpg,the f-doctor is on number 2,डॉक्टरनी नंबर 2 पर है ।,9,1,9,9,,,,,f-doctor,,,,,N,N_List6_Order6_Item_x62_Cond9_Exp_pronoun_Tense_9
7,noun,6,x62,x62.jpg,x62_m.jpg,the f-doctor is on number 2,डॉक्टरनी नंबर 2 पर है ।,,1,9,9,9,2,,,,f-doctor,,,,N,N_List7_Order6_Item_x62_Cond9_Exp_noun_Tense_
8,noun,6,x62,x62.jpg,x62_m.jpg,the f-doctor is on number 2,डॉक्टरनी नंबर 2 पर है ।,,1,9,9,9,2,,,,f-doctor,,,,N,N_List8_Order6_Item_x62_Cond9_Exp_noun_Tense_
1,pronoun,7,x01,x01.jpg,x01_m.jpg,the waiter is below the rope and it is also on number 5,वेटर रस्सी के नीचे है और साथ ही वो नंबर 5 पर भी है ।,,1,,,,2,,,,waiter,,,,N,N_List1_Order7_Item_x01_Cond_Exp_pronoun_Tense_
2,pronoun,7,x01,x01.jpg,x01_m.jpg,the waiter is below the rope and it is also on number 5,वेटर रस्सी के नीचे है और साथ ही वो नंबर 5 पर भी है ।,,1,,,,2,,,,waiter,,,,N,N_List2_Order7_Item_x01_Cond_Exp_pronoun_Tense_
3,noun,7,x01,x01.jpg,x01_m.jpg,the waiter is below the rope and it is also on number 5,वेटर रस्सी के नीचे है और साथ ही वो नंबर 5 पर भी है ।,,1,,,,2,,,,waiter,,,,N,N_List3_Order7_Item_x01_Cond_Exp_noun_Tense_
4,noun,7,x01,x01.jpg,x01_m.jpg,the waiter is below the rope and it is also on number 5,वेटर रस्सी के नीचे है और साथ ही वो नंबर 5 पर भी है ।,,1,,,,2,,,,waiter,,,,N,N_List4_Order7_Item_x01_Cond_Exp_noun_Tense_
5,pronoun,7,x23,x23.jpg,x23_m.jpg,"the butterfly is number 2, above the pot and the flower","तितली नंबर 2 पर उड़ रही है, गमले और फूल के ऊपर ।",forstanding,1,9,9,,,5,,butterfly,,,,,N,N_List5_Order7_Item_x23_Cond9_Exp_pronoun_Tense_forstanding
